customer_id,first_name,last_name,email,phone,address,city,state,country,postal_code,registration_date
1,Larry,Gross,estesbenjamin@rhodes.com,622-791-7471,"386 Rowe Plaza Suite 031, Andrewmouth, VT 42707",West Josephborough,Kansas,USA,16816,2024-08-03
2,Carla,Davis,sarah82@arnold.net,720.335.2071x791,"83636 Doyle Turnpike, Kaylaport, LA 86408",East Ivan,Arizona,USA,14851,2023-10-04
3,Karen,Nichols,xthomas@allen.com,431-114-5207x234,"81971 Sara Isle, Lake Eric, SD 28090",Johnborough,Colorado,USA,80694,2023-09-22
4,Christine,Fernandez,chodge@hotmail.com,(524)251-3515,"6541 Morales Isle, Lake Cynthiafurt, OH 50315",Jonesland,Oklahoma,USA,26845,2023-05-22
5,Michelle,Davis,chasemaria@gmail.com,470.792.7437,"206 Walker Ports Suite 528, New Carl, NM 98208",North Scott,Louisiana,USA,73645,2023-11-18
6,Cheryl,Johnson,brettwoods@whitaker.net,398-289-9143,"777 Pierce Parks, East Richardside, HI 66269",Richardhaven,North Carolina,USA,56357,2024-01-14
7,Becky,Abbott,amyhamilton@hotmail.com,6961753943,"1313 King Forest Apt. 397, East Juanfurt, ND 43307",Blanchardfurt,New Mexico,USA,05854,2023-12-23
8,Stephanie,Dennis,ereed@parker-houston.net,+1-467-513-1480x78712,"0343 Andrew Stravenue, Lake Toni, DC 37143",Edwardfurt,New York,USA,64286,2023-10-18
9,Thomas,Daniels,urivers@hotmail.com,994.117.7809,"827 Marc Common, South Amyland, FL 19904",New Michelle,Vermont,USA,43338,2023-03-23
10,Hannah,Michael,steven23@spencer-estrada.com,001-113-252-6188x2753,"USS Petty, FPO AA 65315",Gibsonport,Utah,USA,46031,2023-10-21
11,Keith,Martin,wpearson@yahoo.com,001-275-763-8609x1620,"91686 Franco Extension Apt. 802, North Samantha, LA 02743",South Katelyn,Connecticut,USA,33553,2024-02-06
12,Christine,Burgess,sarabailey@hammond.com,8192008357,"06606 Conrad Freeway Suite 374, New Ryan, PA 25849",Williamborough,Alabama,USA,64064,2024-03-08
13,Marie,Poole,johnpoole@yahoo.com,906.764.1588x2369,"1971 Mcdonald Turnpike Apt. 383, Forbesport, DE 45971",Staceyport,New Jersey,USA,66982,2023-04-12
14,Jason,Williams,jennifer15@carter.biz,541-284-6587x6241,"0540 Schmidt Groves, Brownchester, CA 56848",Francisview,Idaho,USA,76071,2023-11-09
